 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,              36209,              36209,            3325.21,             619156,                  0,       0.062047/2.390616,       0.169483/1.857031,       0.000000/0.461790,       0.060351/2.634341,                 0.0/0.0,               0.02,
  121,   relocation,            31.7253,            31.7253,            72.1892,            641.634,                  0,      -0.002838/0.080405,      -0.019788/0.051528,      -0.000000/0.068041,      -0.001354/0.084815,                 0.0/0.0,
  122,   relocation,            26.3911,            26.3911,             71.749,            611.512,                  0,      -0.000478/0.078493,      -0.002583/0.050277,      -0.000000/0.067833,      -0.000316/0.082810,                 0.0/0.0,
  123,   relocation,            27.0276,            27.0276,            70.8529,            621.698,                  0,      -0.001503/0.079027,      -0.007158/0.050441,      -0.000000/0.067408,      -0.001106/0.083491,                 0.0/0.0,
  124,   relocation,            27.1203,            27.1203,            70.2131,            615.531,                  0,      -0.000363/0.078671,      -0.002870/0.050953,      -0.000000/0.067103,      -0.000134/0.083083,                 0.0/0.0,
  125,   relocation,            26.9031,            26.9031,            69.6607,            613.856,                  0,      -0.000852/0.078532,      -0.007169/0.050321,      -0.000000/0.066839,      -0.000263/0.082969,                 0.0/0.0,
  126,   relocation,            27.2815,            27.2815,            69.1042,            616.529,                  0,      -0.000208/0.078674,      -0.002714/0.051113,      -0.000000/0.066571,       0.000049/0.083150,                 0.0/0.0,
  127,   relocation,            26.6858,            26.6858,            68.6135,            608.961,                  0,      -0.000811/0.078191,      -0.004935/0.050382,      -0.000000/0.066335,      -0.000471/0.082637,                 0.0/0.0,
  128,   relocation,            27.2095,            27.2095,            68.0411,            603.579,                  0,       0.000407/0.077892,      -0.003594/0.050991,      -0.000000/0.066057,       0.000946/0.082267,                 0.0/0.0,
  129,   relocation,            26.8442,            26.8442,            67.6307,            611.587,                  0,      -0.000357/0.078295,      -0.004153/0.050603,      -0.000000/0.065858,       0.000024/0.082816,                 0.0/0.0,
  130,   relocation,            27.2935,            27.2935,            67.0168,            606.797,                  0,      -0.000340/0.078020,      -0.002972/0.051110,      -0.000000/0.065558,      -0.000092/0.082491,                 0.0/0.0,
  131,   relocation,            26.6663,            26.6663,            66.5118,            601.384,                  0,      -0.001632/0.077638,      -0.004598/0.050396,      -0.000000/0.065311,      -0.001571/0.082107,                 0.0/0.0,
  132,   relocation,            27.2663,            27.2663,            66.2045,            600.153,                  0,       0.000012/0.077603,      -0.002830/0.051093,      -0.000000/0.065160,       0.000347/0.082038,                 0.0/0.0,
  133,   relocation,            26.7985,            26.7985,            65.7042,            595.347,                  0,      -0.000437/0.077278,      -0.005540/0.050427,      -0.000000/0.064913,       0.000083/0.081709,                 0.0/0.0,
  134,   relocation,            27.4301,            27.4301,            65.4589,            598.373,                  0,      -0.000085/0.077470,      -0.002924/0.051241,      -0.000000/0.064792,       0.000232/0.081916,                 0.0/0.0,
  135,   relocation,              26.56,              26.56,            65.0739,             586.09,                  0,      -0.000624/0.076706,      -0.004749/0.050280,      -0.000000/0.064601,      -0.000252/0.081071,                 0.0/0.0,
  136,   relocation,            27.2035,            27.2035,            64.8408,            597.579,                  0,      -0.000029/0.077379,      -0.002455/0.051053,      -0.000000/0.064485,       0.000250/0.081862,                 0.0/0.0,
  137,   relocation,            26.6453,            26.6453,            64.4407,            576.591,                  0,      -0.000595/0.076135,      -0.006048/0.050222,      -0.000000/0.064286,      -0.000062/0.080412,                 0.0/0.0,
  138,   relocation,            27.0972,            27.0972,            64.2578,            581.761,                  0,      -0.000117/0.076447,      -0.002163/0.050966,      -0.000000/0.064195,       0.000101/0.080771,                 0.0/0.0,
  139,   relocation,            26.5154,            26.5154,             63.996,            576.064,                  0,      -0.000246/0.076074,      -0.005120/0.050201,      -0.000000/0.064064,       0.000281/0.080375,                 0.0/0.0,
  140,   relocation,            26.9544,            26.9544,            63.8201,            578.173,                  0,      -0.000133/0.076210,      -0.002903/0.050795,      -0.000000/0.063976,       0.000167/0.080522,                 0.0/0.0,
   28, model update,            26.1577,            26.1577,            63.4695,             125298,                  0,      -0.001150/0.075244,      -0.005239/0.049846,       0.000000/0.063800,       0.040146/1.184702,                 0.0/0.0,          0.0119747,
   29, model update,            65.7968,            65.7968,            68.5888,             125886,                  0,       0.004201/0.086345,       0.052502/0.059685,      -0.000000/0.066323,       0.040314/1.187474,                 0.0/0.0,           0.011376,
   30, model update,            28.8057,            28.8057,            61.6612,             125262,                  0,      -0.002448/0.074134,      -0.020018/0.048638,       0.000000/0.062884,       0.040195/1.184527,                 0.0/0.0,           0.011376,
   31, model update,            69.6987,            69.6987,            66.0039,             125962,                  0,       0.004688/0.085634,       0.058744/0.056943,      -0.000000/0.065061,       0.040215/1.187836,                 0.0/0.0,          0.0108072,
  141,   relocation,            25.4371,            25.4371,            57.4593,            530.524,                  0,      -0.001889/0.072954,      -0.013524/0.047539,      -0.000000/0.060704,      -0.000861/0.077128,                 0.0/0.0,
  142,   relocation,            23.4343,            23.4343,             57.368,            525.733,                  0,      -0.000158/0.072567,      -0.002144/0.047391,      -0.000000/0.060655,       0.000047/0.076784,                 0.0/0.0,
  143,   relocation,            23.7427,            23.7427,            56.8767,            530.809,                  0,      -0.001562/0.072843,      -0.005057/0.047482,      -0.000000/0.060395,      -0.001427/0.077140,                 0.0/0.0,
  144,   relocation,            23.7205,            23.7205,            56.6347,            527.892,                  0,      -0.000457/0.072669,      -0.002684/0.047653,      -0.000000/0.060267,      -0.000277/0.076941,                 0.0/0.0,
  145,   relocation,            23.4577,            23.4577,            56.0409,            514.825,                  0,      -0.001500/0.071818,      -0.006940/0.046953,      -0.000000/0.059950,      -0.001127/0.075974,                 0.0/0.0,
  146,   relocation,            24.3107,            24.3107,            56.0273,             534.12,                  0,      -0.000748/0.073036,      -0.001699/0.048288,      -0.000000/0.059943,      -0.000767/0.077390,                 0.0/0.0,
  147,   relocation,            23.6925,            23.6925,            55.4708,            524.487,                  0,      -0.001330/0.072383,      -0.005140/0.047422,      -0.000000/0.059644,      -0.001117/0.076684,                 0.0/0.0,
  148,   relocation,             24.104,             24.104,            55.3886,            519.102,                  0,      -0.000236/0.072091,      -0.002835/0.048029,      -0.000000/0.059600,       0.000027/0.076298,                 0.0/0.0,
  149,   relocation,            23.5128,            23.5128,            54.9861,            516.044,                  0,      -0.000963/0.071840,      -0.005403/0.047211,      -0.000000/0.059383,      -0.000613/0.076070,                 0.0/0.0,
  150,   relocation,            24.0447,            24.0447,            54.6652,            513.733,                  0,      -0.000527/0.071718,      -0.002553/0.047985,      -0.000000/0.059209,      -0.000383/0.075901,                 0.0/0.0,
  151,   relocation,            23.6809,            23.6809,            54.4788,            509.099,                  0,      -0.000662/0.071402,      -0.005402/0.047381,      -0.000000/0.059108,      -0.000224/0.075559,                 0.0/0.0,
  152,   relocation,            24.2454,            24.2454,            54.0426,            510.261,                  0,      -0.001090/0.071475,      -0.003688/0.048112,      -0.000000/0.058871,      -0.000977/0.075639,                 0.0/0.0,
  153,   relocation,            23.5589,            23.5589,            54.1709,             507.04,                  0,      -0.000147/0.071254,      -0.005024/0.047299,      -0.000000/0.058941,       0.000397/0.075405,                 0.0/0.0,
  154,   relocation,            24.2805,            24.2805,            53.5763,            516.465,                  0,      -0.001297/0.071822,      -0.002021/0.048246,      -0.000000/0.058617,      -0.001439/0.076090,                 0.0/0.0,
  155,   relocation,            23.8133,            23.8133,            53.4595,            505.726,                  0,      -0.000333/0.071145,      -0.005160/0.047542,      -0.000000/0.058553,       0.000172/0.075308,                 0.0/0.0,
  156,   relocation,            24.7146,            24.7146,            53.0545,            514.166,                  0,      -0.000883/0.071684,      -0.003364/0.048602,      -0.000000/0.058331,      -0.000747/0.075930,                 0.0/0.0,
  157,   relocation,            23.6681,            23.6681,            53.0826,            499.309,                  0,       0.000202/0.070721,      -0.005242/0.047386,      -0.000000/0.058346,       0.000873/0.074824,                 0.0/0.0,
  158,   relocation,            24.5684,            24.5684,            52.7076,            503.363,                  0,      -0.001058/0.070994,      -0.003057/0.048477,      -0.000000/0.058140,      -0.001010/0.075125,                 0.0/0.0,
  159,   relocation,            23.2103,            23.2103,            52.6719,            488.237,                  0,      -0.000428/0.069983,      -0.005472/0.046894,      -0.000000/0.058120,       0.000086/0.073995,                 0.0/0.0,
  160,   relocation,            24.6096,            24.6096,            52.2465,            509.282,                  0,      -0.001047/0.071329,      -0.002527/0.048549,      -0.000000/0.057885,      -0.001058/0.075565,                 0.0/0.0,
   32, model update,            23.6503,            23.6503,            52.3593,             125831,                  0,      -0.000728/0.070281,      -0.006039/0.047273,       0.000000/0.057947,       0.040317/1.187213,                 0.0/0.0,          0.0108072,
   33, model update,            59.3774,            59.3774,            58.8461,             126408,                  0,       0.004555/0.080496,       0.050693/0.055969,       0.000000/0.061432,       0.040516/1.189928,                 0.0/0.0,          0.0102668,
   34, model update,            24.8163,            24.8163,            50.8986,             125854,                  0,      -0.001540/0.069264,      -0.015748/0.046208,       0.000000/0.057133,       0.040401/1.187319,                 0.0/0.0,          0.0102668,
   35, model update,            60.3137,            60.3137,            56.7891,             126435,                  0,       0.004745/0.079490,       0.053768/0.053863,       0.000000/0.060349,       0.040402/1.190062,                 0.0/0.0,          0.0097535,
  161,   relocation,            22.6822,            22.6822,             47.992,            467.413,                  0,      -0.001163/0.068341,      -0.011090/0.045335,      -0.000000/0.055478,      -0.000208/0.072399,                 0.0/0.0,
  162,   relocation,             21.816,             21.816,            47.7395,            467.619,                  0,      -0.000560/0.068290,      -0.000841/0.045764,      -0.000000/0.055332,      -0.000625/0.072413,                 0.0/0.0,
  163,   relocation,            21.0015,            21.0015,            47.5067,            450.787,                  0,      -0.000593/0.067144,      -0.005512/0.044570,      -0.000000/0.055197,      -0.000122/0.071100,                 0.0/0.0,
  164,   relocation,            21.8677,            21.8677,            47.0527,            461.164,                  0,      -0.000673/0.067837,      -0.003643/0.045681,      -0.000000/0.054932,      -0.000444/0.071913,                 0.0/0.0,
  165,   relocation,            21.5196,            21.5196,            47.1591,            454.619,                  0,      -0.000724/0.067401,      -0.006060/0.045054,      -0.000000/0.054994,      -0.000227/0.071401,                 0.0/0.0,
  166,   relocation,            21.8665,            21.8665,            46.7896,            459.751,                  0,      -0.000673/0.067730,      -0.002841/0.045737,      -0.000000/0.054778,      -0.000538/0.071802,                 0.0/0.0,
  167,   relocation,            21.4448,            21.4448,            46.7101,            447.033,                  0,      -0.000894/0.066874,      -0.005665/0.045026,      -0.000000/0.054732,      -0.000493/0.070802,                 0.0/0.0,
  168,   relocation,             21.881,             21.881,            46.4228,            457.757,                  0,      -0.000778/0.067578,      -0.002417/0.045776,      -0.000000/0.054563,      -0.000722/0.071644,                 0.0/0.0,
  169,   relocation,            21.7546,            21.7546,            46.2509,            447.732,                  0,      -0.001142/0.066906,      -0.006411/0.045256,      -0.000000/0.054462,      -0.000726/0.070855,                 0.0/0.0,
  170,   relocation,            22.2174,            22.2174,            46.2889,            461.882,                  0,      -0.000025/0.067860,      -0.002884/0.046101,      -0.000000/0.054485,       0.000304/0.071969,                 0.0/0.0,
  171,   relocation,            21.6768,            21.6768,            46.0421,            447.487,                  0,      -0.000578/0.066879,      -0.006366/0.045179,      -0.000000/0.054339,      -0.000004/0.070840,                 0.0/0.0,
  172,   relocation,            22.3974,            22.3974,            45.9561,            454.781,                  0,      -0.000416/0.067393,      -0.003440/0.046250,      -0.000000/0.054288,      -0.000135/0.071414,                 0.0/0.0,
  173,   relocation,             21.336,             21.336,             45.856,            440.463,                  0,      -0.000809/0.066385,      -0.005867/0.044884,      -0.000000/0.054229,      -0.000359/0.070280,                 0.0/0.0,
  174,   relocation,            22.4494,            22.4494,            45.8526,            464.112,                  0,       0.000065/0.067989,      -0.002390/0.046370,      -0.000000/0.054227,       0.000364/0.072143,                 0.0/0.0,
  175,   relocation,            21.5925,            21.5925,            45.6226,            443.334,                  0,      -0.000899/0.066572,      -0.005231/0.045236,      -0.000000/0.054091,      -0.000550/0.070508,                 0.0/0.0,
  176,   relocation,            22.3478,            22.3478,            45.4084,            454.696,                  0,      -0.000217/0.067350,      -0.003599/0.046186,      -0.000000/0.053964,       0.000140/0.071408,                 0.0/0.0,
  177,   relocation,            21.2033,            21.2033,            45.4957,            432.432,                  0,      -0.001002/0.065822,      -0.005568/0.044780,      -0.000000/0.054016,      -0.000645/0.069635,                 0.0/0.0,
  178,   relocation,            22.3976,            22.3976,            45.3082,            455.064,                  0,      -0.000744/0.067366,      -0.003580/0.046240,      -0.000000/0.053904,      -0.000543/0.071435,                 0.0/0.0,
  179,   relocation,             21.203,             21.203,            45.3012,            431.873,                  0,      -0.000554/0.065778,      -0.004953/0.044852,      -0.000000/0.053900,      -0.000137/0.069593,                 0.0/0.0,
  180,   relocation,            22.9267,            22.9267,             45.066,            461.257,                  0,      -0.000176/0.067787,      -0.004002/0.046752,      -0.000000/0.053760,       0.000240/0.071921,                 0.0/0.0,
   36, model update,            21.3002,            21.3002,            45.2593,             125979,                  0,      -0.000925/0.065715,      -0.005557/0.044885,       0.000000/0.053875,       0.039540/1.187939,                 0.0/0.0,          0.0097535,
   37, model update,            46.5276,            46.5276,            50.3487,             126470,                  0,       0.003457/0.074082,       0.042600/0.051512,       0.000000/0.056824,       0.039576/1.190252,                 0.0/0.0,         0.00926582,
   38, model update,            23.6215,            23.6215,            45.4965,             125994,                  0,      -0.002017/0.065215,      -0.017120/0.044445,      -0.000000/0.054016,       0.039479/1.188012,                 0.0/0.0,         0.00926582,
   39, model update,            49.0276,            49.0276,            49.1251,             126485,                  0,       0.003779/0.073744,       0.046495/0.050463,       0.000000/0.056129,       0.039536/1.190328,                 0.0/0.0,         0.00880253,
  181,   relocation,            21.4654,            21.4654,            42.9773,            413.415,                  0,      -0.001606/0.064392,      -0.012450/0.043663,      -0.000000/0.052499,      -0.000620/0.068086,                 0.0/0.0,
  182,   relocation,            20.4414,            20.4414,            42.8629,            424.529,                  0,      -0.000440/0.065079,      -0.000801/0.044299,      -0.000000/0.052430,      -0.000475/0.068997,                 0.0/0.0,
  183,   relocation,            19.9243,            19.9243,            42.7978,            412.615,                  0,      -0.001028/0.064233,      -0.004934/0.043463,      -0.000000/0.052390,      -0.000752/0.068019,                 0.0/0.0,
  184,   relocation,            21.0434,            21.0434,            42.3813,            433.099,                  0,       0.000068/0.065658,      -0.002639/0.044877,      -0.000000/0.052134,       0.000396/0.069690,                 0.0/0.0,
  185,   relocation,            19.6637,            19.6637,             42.532,            400.292,                  0,      -0.001360/0.063353,      -0.006489/0.042968,      -0.000000/0.052227,      -0.000999/0.066992,                 0.0/0.0,
  186,   relocation,            21.1814,            21.1814,            42.1036,            442.786,                  0,      -0.000342/0.066285,      -0.002628/0.045025,      -0.000000/0.051963,      -0.000134/0.070466,                 0.0/0.0,
  187,   relocation,            20.2866,            20.2866,            42.3623,            415.113,                  0,      -0.000939/0.064398,      -0.004777/0.043879,      -0.000000/0.052122,      -0.000654/0.068226,                 0.0/0.0,
  188,   relocation,             20.267,             20.267,            41.9047,            416.978,                  0,       0.000520/0.064497,      -0.004379/0.043899,      -0.000000/0.051840,       0.001184/0.068372,                 0.0/0.0,
  189,   relocation,            20.6431,            20.6431,            42.0033,            411.242,                  0,      -0.000821/0.064138,      -0.006742/0.044011,      -0.000000/0.051901,      -0.000273/0.067910,                 0.0/0.0,
  190,   relocation,             20.134,             20.134,            41.6065,            417.239,                  0,      -0.000666/0.064484,      -0.003083/0.043864,      -0.000000/0.051655,      -0.000500/0.068402,                 0.0/0.0,
  191,   relocation,            20.9239,            20.9239,            41.6994,            420.912,                  0,      -0.000986/0.064786,      -0.006789/0.044309,      -0.000000/0.051713,      -0.000481/0.068702,                 0.0/0.0,
  192,   relocation,            20.2448,            20.2448,            41.5244,            414.985,                  0,       0.000226/0.064337,      -0.003206/0.043976,      -0.000000/0.051604,       0.000666/0.068215,                 0.0/0.0,
  193,   relocation,            20.4358,            20.4358,             41.435,            412.795,                  0,      -0.001826/0.064170,      -0.007088/0.043730,      -0.000000/0.051549,      -0.001530/0.068021,                 0.0/0.0,
  194,   relocation,            20.2991,            20.2991,            41.4313,            416.711,                  0,      -0.000069/0.064451,      -0.002080/0.044103,      -0.000000/0.051547,       0.000154/0.068360,                 0.0/0.0,
  195,   relocation,            21.0146,            21.0146,            41.4667,            420.401,                  0,      -0.000826/0.064744,      -0.006955/0.044382,      -0.000000/0.051569,      -0.000255/0.068662,                 0.0/0.0,
  196,   relocation,            20.9556,            20.9556,            41.3515,            421.554,                  0,      -0.000173/0.064815,      -0.003103/0.044753,      -0.000000/0.051497,       0.000139/0.068756,                 0.0/0.0,
  197,   relocation,            20.9387,            20.9387,            41.3168,            415.232,                  0,      -0.000758/0.064382,      -0.007644/0.044186,      -0.000000/0.051475,      -0.000086/0.068239,                 0.0/0.0,
  198,   relocation,            20.9819,            20.9819,            41.2827,            426.862,                  0,       0.000462/0.065165,      -0.002508/0.044818,      -0.000000/0.051454,       0.000889/0.069182,                 0.0/0.0,
  199,   relocation,            20.9273,            20.9273,            41.2872,            417.116,                  0,      -0.001278/0.064498,      -0.007506/0.044197,      -0.000000/0.051457,      -0.000775/0.068389,                 0.0/0.0,
  200,   relocation,            20.9532,            20.9532,            41.0491,            420.281,                  0,       0.000146/0.064709,      -0.002388/0.044794,      -0.000000/0.051308,       0.000468/0.068651,                 0.0/0.0,
